"Name","Team","POS","Salary","Years","Total Value","Avg Annual","year"
"Justin Upton","LAA","OF","$17,700,000","5 (2018-22)","$106,000,000","$21,200,000",2012
"Daniel Murphy","WSH","2B","$17,500,000","3 (2016-18)","$37,500,000","$12,500,000",2012
"Adam Jones","BAL","OF","$17,393,152","6 (2013-18)","$85,500,000","$14,250,000",2012
"Brandon Belt","SF","1B","$17,200,000","5 (2017-21)","$72,800,000","$14,560,000",2012
"Aroldis Chapman","NYY","RP","$17,200,000","5 (2017-21)","$86,000,000","$17,200,000",2012
"Brian McCann","HOU","C","$17,000,000","5 (2014-18)","$85,000,000","$17,000,000",2012
"Rich Hill","LAD","SP","$16,666,667","3 (2017-19)","$48,000,000","$16,000,000",2012
"Dexter Fowler","STL","OF","$16,500,000","5 (2017-21)","$82,500,000","$16,500,000",2012
"Ben Zobrist","CHC","2B","$16,500,000","4 (2016-19)","$56,000,000","$14,000,000",2012
"Stephen Strasburg","WSH","SP","$16,428,571","7 (2017-23)","$175,000,000","$25,000,000",2012
"Wade Davis","COL","RP","$16,333,333","3 (2018-20)","$52,000,000","$17,333,333",2012
"Manny Machado","BAL","SS","$16,000,000","1 (2018)","$16,000,000","$16,000,000",2012
"Ian Kennedy","KC","SP","$16,000,000","5 (2016-20)","$70,000,000","$14,000,000",2012
"Dustin Pedroia","BOS","2B","$15,521,686","8 (2014-21)","$110,000,000","$13,750,000",2012
"Elvis Andrus","TEX","SS","$15,333,333","8 (2015-22)","$120,000,000","$15,000,000",2012
"Brandon Crawford","SF","SS","$15,200,000","6 (2016-21)","$75,000,000","$12,500,000",2012
"Mark Melancon","SF","RP","$15,000,000","4 (2017-20)","$62,000,000","$15,500,000",2012
"Andrew McCutchen","SF","OF","$14,750,000","1 (2018)","$14,750,000","$14,750,000",2012
"Evan Longoria","SF","3B","$14,500,000","6 (2017-22)","$100,000,000","$16,666,667",2012
"Ryan Zimmerman","WSH","1B","$14,333,333","6 (2014-19)","$100,000,000","$16,666,667",2012
"Nelson Cruz","SEA","DH","$14,250,000","4 (2015-18)","$57,000,000","$14,250,000",2012
"Matt Carpenter","STL","1B","$14,083,333","6 (2014-19)","$52,000,000","$8,666,667",2012
"Lorenzo Cain","MIL","OF","$14,000,000","5 (2018-22)","$80,000,000","$16,000,000",2012
"Alex Cobb","BAL","SP","$14,000,000","4 (2018-21)","$57,000,000","$14,250,000",2012
"Charlie Blackmon","COL","OF","$14,000,000","1 (2018)","$14,000,000","$14,000,000",2012
"Danny Duffy","KC","SP","$14,000,000","5 (2017-21)","$65,000,000","$13,000,000",2012
"Craig Kimbrel","BOS","RP","$13,900,000","1 (2018)","$13,900,000","$13,900,000",2012
"Jason Kipnis","CLE","2B","$13,666,667","6 (2014-19)","$52,500,000","$8,750,000",2012
"Martin Prado","MIA","3B","$13,500,000","3 (2017-19)","$40,000,000","$13,333,333",2012
"Ervin Santana","MIN","SP","$13,500,000","4 (2015-18)","$55,000,000","$13,750,000",2012
"Dallas Keuchel","HOU","SP","$13,200,000","1 (2018)","$13,200,000","$13,200,000",2012
"Phil Hughes","MIN","RP","$13,200,000","5 (2015-19)","$58,000,000","$11,600,000",2012
"Devin Mesoraco","CIN","C","$13,125,000","4 (2015-18)","$28,000,000","$7,000,000",2012
"Josh Reddick","HOU","OF","$13,000,000","4 (2017-20)","$52,000,000","$13,000,000",2012
"J.A. Happ","TOR","SP","$13,000,000","3 (2016-18)","$36,000,000","$12,000,000",2012
"Marco Estrada","TOR","SP","$13,000,000","1 (2018)","$13,000,000","$13,000,000",2012
"Chase Headley","SD","3B","$13,000,000","4 (2015-18)","$52,000,000","$13,000,000",2012
"Jose Abreu","CWS","1B","$13,000,000","1 (2018)","$13,000,000","$13,000,000",2012
"David Robertson","NYY","RP","$13,000,000","4 (2015-18)","$46,000,000","$11,500,000",2012
"Zack Cozart","LAA","3B","$12,666,666","3 (2018-20)","$38,000,000","$12,666,667",2012
"Tyler Chatwood","CHC","SP","$12,500,000","3 (2018-20)","$38,000,000","$12,666,667",2012
"Chris Sale","BOS","SP","$12,500,000","1 (2018)","$12,500,000","$12,500,000",2012
"Denard Span","TB","OF","$12,333,333","3 (2016-18)","$31,000,000","$10,333,333",2012
"Anthony Rendon","WSH","3B","$12,300,000","1 (2018)","$12,300,000","$12,300,000",2012
"Mark Trumbo","BAL","DH","$12,274,428","3 (2017-19)","$36,887,268","$12,295,756",2012
"George Springer","HOU","OF","$12,000,000","2 (2018-19)","$24,000,000","$12,000,000",2012
"Yulieski Gurriel","HOU","1B","$12,000,000","5 (2016-20)","$47,500,000","$9,500,000",2012
"Justin Turner","LAD","3B","$12,000,000","4 (2017-20)","$64,000,000","$16,000,000",2012
"Madison Bumgarner","SF","SP","$12,000,000","1 (2018)","$12,000,000","$12,000,000",2012
"Michael Brantley","CLE","OF","$12,000,000","1 (2018)","$12,000,000","$12,000,000",2012
"Gio Gonzalez","WSH","SP","$12,000,000","1 (2018)","$12,000,000","$12,000,000",2012
"Zach Britton","BAL","RP","$12,000,000","1 (2018)","$12,000,000","$12,000,000",2012
"Lance Lynn","MIN","SP","$12,000,000","1 (2018)","$12,000,000","$12,000,000",2012
"Brett Gardner","NYY","OF","$12,000,000","4 (2015-18)","$52,000,000","$13,000,000",2012
"Carlos Martinez","STL","SP","$11,800,000","5 (2017-21)","$51,000,000","$10,200,000",2012
"Brandon McCarthy","ATL","SP","$11,500,000","4 (2015-18)","$48,000,000","$12,000,000",2012
"Paul Goldschmidt","ARI","1B","$11,083,333","5 (2014-18)","$32,000,000","$6,400,000",2012
"Andrelton Simmons","LAA","SS","$11,000,000","7 (2014-20)","$58,000,000","$8,285,714",2012
"Ian Kinsler","LAA","2B","$11,000,000","1 (2018)","$11,000,000","$11,000,000",2012
"Kendrys Morales","TOR","DH","$11,000,000","3 (2017-19)","$33,000,000","$11,000,000",2012
"Nick Markakis","ATL","OF","$11,000,000","4 (2015-18)","$44,000,000","$11,000,000",2012
"Dee Gordon","SEA","OF","$11,000,000","5 (2016-20)","$50,000,000","$10,000,000",2012
"Starlin Castro","MIA","2B","$11,000,000","7 (2013-19)","$60,000,000","$8,571,429",2012
"Jay Bruce","NYM","OF","$11,000,000","3 (2018-20)","$39,000,000","$13,000,000",2012
"Kris Bryant","CHC","3B","$10,850,000","1 (2018)","$10,850,000","$10,850,000",2012
"Kenley Jansen","LAD","RP","$10,800,000","5 (2017-21)","$80,000,000","$16,000,000",2012
"Corey Kluber","CLE","SP","$10,700,000","5 (2015-19)","$38,500,000","$7,700,000",2012
"Cody Allen","CLE","RP","$10,575,000","1 (2018)","$10,575,000","$10,575,000",2012
"Khris Davis","OAK","OF","$10,500,000","1 (2018)","$10,500,000","$10,500,000",2012
"Brandon Morrow","CHC","RP","$10,500,000","2 (2018-19)","$21,000,000","$10,500,000",2012
"Matt Wieters","WSH","C","$10,500,000","1 (2018)","$10,500,000","$10,500,000",2012
"Francisco Cervelli","PIT","C","$10,500,000","3 (2017-19)","$31,000,000","$10,333,333",2012
"Josh Harrison","PIT","2B","$10,500,000","4 (2015-18)","$27,300,000","$6,825,000",2012
"Mookie Betts","BOS","OF","$10,500,000","1 (2018)","$10,500,000","$10,500,000",2012
"Jaime Garcia","TOR","SP","$10,000,000","1 (2018)","$10,000,000","$10,000,000",2012
"Wei-Yin Chen","MIA","SP","$10,000,000","5 (2016-20)","$80,000,000","$16,000,000",2012
"Gerardo Parra","COL","OF","$10,000,000","3 (2016-18)","$27,500,000","$9,166,667",2012
"Jason Hammel","KC","SP","$10,000,000","2 (2017-18)","$16,000,000","$8,000,000",2012
"CC Sabathia","NYY","SP","$10,000,000","1 (2018)","$10,000,000","$10,000,000",2012
"Jean Segura","SEA","SS","$9,800,000","5 (2018-22)","$70,000,000","$14,000,000",2012
"Joakim Soria","CWS","RP","$9,333,333","3 (2016-18)","$25,000,000","$8,333,333",2012
"Matt Moore","TEX","SP","$9,250,000","1 (2018)","$9,250,000","$9,250,000",2012
"AJ Ramos","NYM","RP","$9,225,000","1 (2018)","$9,225,000","$9,225,000",2012
"Yasiel Puig","LAD","OF","$9,214,285","7 (2012-18)","$42,000,000","$6,000,000",2012
"Ivan Nova","PIT","SP","$9,166,667","3 (2017-19)","$26,000,000","$8,666,667",2012
"Jedd Gyorko","STL","3B","$9,166,666","6 (2014-19)","$35,510,900","$5,918,483",2012
"Jose Altuve","HOU","2B","$9,000,000","7 (2018-24)","$163,500,000","$23,357,143",2012
"Marcell Ozuna","STL","OF","$9,000,000","1 (2018)","$9,000,000","$9,000,000",2012
"Logan Forsythe","LAD","2B","$9,000,000","1 (2018)","$9,000,000","$9,000,000",2012
"Andrew Miller","CLE","RP","$9,000,000","4 (2015-18)","$36,000,000","$9,000,000",2012
"Brad Ziegler","MIA","RP","$9,000,000","2 (2017-18)","$16,000,000","$8,000,000",2012
"Tommy Hunter","PHI","RP","$9,000,000","2 (2018-19)","$18,000,000","$9,000,000",2012
"Brian Dozier","MIN","2B","$9,000,000","4 (2015-18)","$20,000,000","$5,000,000",2012
"Darren O'Day","BAL","RP","$8,854,712","4 (2016-19)","$31,000,000","$7,750,000",2012
"Jose Quintana","CHC","SP","$8,850,000","5 (2014-18)","$21,000,000","$4,200,000",2012
"Kole Calhoun","LAA","OF","$8,833,333","3 (2017-19)","$26,000,000","$8,666,667",2012
"Jhoulys Chacin","MIL","SP","$8,750,000","2 (2018-19)","$15,500,000","$7,750,000",2012
"Carlos Carrasco","CLE","SP","$8,750,000","4 (2015-18)","$22,000,000","$5,500,000",2012
"Salvador Perez","KC","C","$8,700,000","6 (2016-21)","$54,500,000","$9,083,333",2012
"Jonathan Schoop","BAL","2B","$8,500,000","1 (2018)","$8,500,000","$8,500,000",2012
"Wilson Ramos","TB","C","$8,500,000","2 (2017-18)","$12,500,000","$6,250,000",2012
"Drew Pomeranz","BOS","SP","$8,500,000","1 (2018)","$8,500,000","$8,500,000",2012
"DJ LeMahieu","COL","2B","$8,500,000","1 (2018)","$8,500,000","$8,500,000",2012
"Mike Minor","TEX","SP","$8,333,333","3 (2018-20)","$28,000,000","$9,333,333",2012
"Luis Valbuena","LAA","1B","$8,250,000","2 (2017-18)","$15,000,000","$7,500,000",2012
"Asdrubal Cabrera","NYM","2B","$8,250,000","1 (2018)","$8,250,000","$8,250,000",2012
"Addison Reed","MIN","RP","$8,250,000","2 (2018-19)","$16,750,000","$8,375,000",2012
"Didi Gregorius","NYY","SS","$8,250,000","1 (2018)","$8,250,000","$8,250,000",2012
"Julio Teheran","ATL","SP","$8,166,666","6 (2014-19)","$32,400,000","$5,400,000",2012
"Starling Marte","PIT","OF","$8,166,666","6 (2014-19)","$31,000,000","$5,166,667",2012
"Bryan Shaw","COL","RP","$8,166,666","3 (2018-20)","$27,000,000","$9,000,000",2012
"Pat Neshek","PHI","RP","$8,125,000","2 (2018-19)","$16,250,000","$8,125,000",2012
"Todd Frazier","NYM","3B","$8,000,000","2 (2018-19)","$17,000,000","$8,500,000",2012
"Jason Castro","MIN","C","$8,000,000","3 (2017-19)","$24,500,000","$8,166,667",2012
"Kelvin Herrera","KC","RP","$7,937,500","1 (2018)","$7,937,500","$7,937,500",2012
"Jeurys Familia","NYM","RP","$7,925,000","1 (2018)","$7,925,000","$7,925,000",2012
"Yasmani Grandal","LAD","C","$7,900,000","1 (2018)","$7,900,000","$7,900,000",2012
"Hyun-Jin Ryu","LAD","SP","$7,833,333","6 (2013-18)","$36,000,000","$6,000,000",2012
"Brett Cecil","STL","RP","$7,750,000","4 (2017-20)","$30,500,000","$7,625,000",2012
"A.J. Pollock","ARI","OF","$7,750,000","1 (2018)","$7,750,000","$7,750,000",2012
"Juan Nicasio","SEA","RP","$7,750,000","2 (2018-19)","$17,000,000","$8,500,000",2012
"Ryan Madson","WSH","RP","$7,666,667","3 (2016-18)","$22,000,000","$7,333,333",2012
"Jake McGee","COL","RP","$7,666,666","3 (2018-20)","$27,000,000","$9,000,000",2012
"Miles Mikolas","STL","SP","$7,500,000","2 (2018-19)","$15,500,000","$7,750,000",2012
"Patrick Corbin","ARI","SP","$7,500,000","1 (2018)","$7,500,000","$7,500,000",2012
"Yonder Alonso","CLE","1B","$7,500,000","2 (2018-19)","$16,000,000","$8,000,000",2012
"Welington Castillo","CWS","C","$7,500,000","2 (2018-19)","$15,000,000","$7,500,000",2012
"Jacob deGrom","NYM","SP","$7,400,000","1 (2018)","$7,400,000","$7,400,000",2012
"Mike Dunn","COL","RP","$7,333,333","3 (2017-19)","$19,000,000","$6,333,333",2012
"Garrett Richards","LAA","SP","$7,300,000","1 (2018)","$7,300,000","$7,300,000",2012
"Anthony Rizzo","CHC","1B","$7,285,714","7 (2013-19)","$41,000,000","$5,857,143",2012
"Xander Bogaerts","BOS","SS","$7,050,000","1 (2018)","$7,050,000","$7,050,000",2012
"Charlie Morton","HOU","SP","$7,000,000","2 (2017-18)","$14,000,000","$7,000,000",2012
"Joe Smith","HOU","RP","$7,000,000","2 (2018-19)","$15,000,000","$7,500,000",2012
"Christian Yelich","MIL","OF","$7,000,000","7 (2015-21)","$49,570,000","$7,081,429",2012
"Junichi Tazawa","MIA","RP","$7,000,000","2 (2017-18)","$12,120,000","$6,060,000",2012
"Jason Vargas","NYM","SP","$7,000,000","2 (2018-19)","$16,000,000","$8,000,000",2012
"Jerry Blevins","NYM","RP","$7,000,000","1 (2018)","$7,000,000","$7,000,000",2012
"Adam Ottavino","COL","RP","$7,000,000","3 (2016-18)","$10,400,000","$3,466,667",2012
"Freddy Galvis","SD","SS","$6,825,000","1 (2018)","$6,825,000","$6,825,000",2012
"Gerrit Cole","HOU","SP","$6,750,000","1 (2018)","$6,750,000","$6,750,000",2012
"Jordy Mercer","PIT","SS","$6,750,000","1 (2018)","$6,750,000","$6,750,000",2012
"Evan Gattis","HOU","C","$6,700,000","1 (2018)","$6,700,000","$6,700,000",2012
"Avisail Garcia","CWS","OF","$6,700,000","1 (2018)","$6,700,000","$6,700,000",2012
"Trevor Bauer","CLE","SP","$6,525,000","1 (2018)","$6,525,000","$6,525,000",2012
"Jonathan Lucroy","OAK","C","$6,500,000","1 (2018)","$6,500,000","$6,500,000",2012
"Marcus Stroman","TOR","SP","$6,500,000","1 (2018)","$6,500,000","$6,500,000",2012
"Steve Cishek","CHC","RP","$6,500,000","2 (2018-19)","$13,000,000","$6,500,000",2012
"Juan Lagares","NYM","OF","$6,500,000","5 (2015-19)","$23,553,696","$4,710,739",2012
"Mitch Moreland","BOS","1B","$6,500,000","2 (2018-19)","$13,000,000","$6,500,000",2012
"Mike Moustakas","KC","3B","$6,500,000","1 (2018)","$6,500,000","$6,500,000",2012
"Logan Morrison","MIN","1B","$6,500,000","1 (2018)","$6,500,000","$6,500,000",2012
"Sonny Gray","NYY","SP","$6,500,000","1 (2018)","$6,500,000","$6,500,000",2012
"Tanner Roark","WSH","SP","$6,475,000","1 (2018)","$6,475,000","$6,475,000",2012
"Chris Archer","TB","SP","$6,458,333","6 (2014-19)","$25,500,000","$4,250,000",2012
"Andrew Cashner","BAL","SP","$6,346,755","2 (2018-19)","$16,000,000","$8,000,000",2012
"Adam Eaton","WSH","OF","$6,300,000","5 (2015-19)","$23,500,000","$4,700,000",2012
"Jake Odorizzi","MIN","SP","$6,300,000","1 (2018)","$6,300,000","$6,300,000",2012
"Jose Iglesias","DET","SS","$6,275,000","1 (2018)","$6,275,000","$6,275,000",2012
"Steve Pearce","TOR","1B","$6,250,000","2 (2017-18)","$12,500,000","$6,250,000",2012
"Jackie Bradley Jr.","BOS","OF","$6,100,000","1 (2018)","$6,100,000","$6,100,000",2012
"Kevin Kiermaier","TB","OF","$6,083,333","6 (2017-22)","$54,000,000","$9,000,000",2012
"Nicholas Castellanos","DET","OF","$6,050,000","1 (2018)","$6,050,000","$6,050,000",2012
"Yan Gomes","CLE","C","$6,033,333","6 (2014-19)","$23,000,000","$3,833,333",2012
"Tony Sipp","HOU","RP","$6,000,000","3 (2016-18)","$18,000,000","$6,000,000",2012
"Jed Lowrie","OAK","2B","$6,000,000","1 (2018)","$6,000,000","$6,000,000",2012
"Matt Joyce","OAK","OF","$6,000,000","1 (2018)","$6,000,000","$6,000,000",2012
"Santiago Casilla","OAK","RP","$6,000,000","2 (2017-18)","$11,000,000","$5,500,000",2012
"Alex Wood","LAD","SP","$6,000,000","1 (2018)","$6,000,000","$6,000,000",2012
"Martin Perez","TEX","SP","$6,000,000","1 (2018)","$6,000,000","$6,000,000",2012
"Eduardo Nunez","BOS","2B","$6,000,000","1 (2018)","$6,000,000","$6,000,000",2012
"Mike Fiers","DET","SP","$6,000,000","1 (2018)","$6,000,000","$6,000,000",2012
"Corey Dickerson","PIT","OF","$5,950,000","1 (2018)","$5,950,000","$5,950,000",2012
"Adeiny Hechavarria","TB","SS","$5,900,000","1 (2018)","$5,900,000","$5,900,000",2012
"Pedro Strop","CHC","RP","$5,850,000","2 (2017-18)","$11,850,000","$5,925,000",2012
"Sean Rodriguez","PIT","1B","$5,750,000","2 (2017-18)","$11,500,000","$5,750,000",2012
"Scooter Gennett","CIN","2B","$5,700,000","1 (2018)","$5,700,000","$5,700,000",2012
"Matt Harvey","NYM","SP","$5,625,000","1 (2018)","$5,625,000","$5,625,000",2012
"Kevin Gausman","BAL","SP","$5,600,000","1 (2018)","$5,600,000","$5,600,000",2012
"Lonnie Chisenhall","CLE","OF","$5,587,500","1 (2018)","$5,587,500","$5,587,500",2012
"David Phelps","SEA","RP","$5,550,000","1 (2018)","$5,550,000","$5,550,000",2012
"Luke Gregerson","STL","RP","$5,500,000","2 (2018-19)","$11,000,000","$5,500,000",2012
"Marc Rzepczynski","SEA","RP","$5,500,000","2 (2017-18)","$11,000,000","$5,500,000",2012
"Anthony Swarzak","NYM","RP","$5,500,000","2 (2018-19)","$14,000,000","$7,000,000",2012
"Shawn Kelley","WSH","RP","$5,500,000","3 (2016-18)","$15,000,000","$5,000,000",2012
"Eric Thames","MIL","1B","$5,333,333","3 (2017-19)","$16,000,000","$5,333,333",2012
"Roberto Osuna","TOR","RP","$5,300,000","1 (2018)","$5,300,000","$5,300,000",2012
"Michael Wacha","STL","SP","$5,300,000","1 (2018)","$5,300,000","$5,300,000",2012
"Alex Colome","TB","RP","$5,300,000","1 (2018)","$5,300,000","$5,300,000",2012
"Raisel Iglesias","CIN","RP","$5,214,285","7 (2014-20)","$27,000,000","$3,857,143",2012
"Brad Brach","BAL","RP","$5,165,000","1 (2018)","$5,165,000","$5,165,000",2012
"Marwin Gonzalez","HOU","1B","$5,125,000","1 (2018)","$5,125,000","$5,125,000",2012
"Cesar Hernandez","PHI","2B","$5,100,000","1 (2018)","$5,100,000","$5,100,000",2012
"Dellin Betances","NYY","RP","$5,100,000","1 (2018)","$5,100,000","$5,100,000",2012
"Jim Johnson","LAA","RP","$5,000,000","2 (2017-18)","$10,000,000","$5,000,000",2012
"Collin McHugh","HOU","RP","$5,000,000","1 (2018)","$5,000,000","$5,000,000",2012
"Curtis Granderson","TOR","OF","$5,000,000","1 (2018)","$5,000,000","$5,000,000",2012
"Chase Anderson","MIL","SP","$5,000,000","2 (2018-19)","$11,750,000","$5,875,000",2012
"Danny Salazar","CLE","SP","$5,000,000","1 (2018)","$5,000,000","$5,000,000",2012
"Brandon Kintzler","WSH","RP","$5,000,000","1 (2018)","$5,000,000","$5,000,000",2012
"Carlos Gonzalez","COL","OF","$5,000,000","1 (2018)","$5,000,000","$5,000,000",2012
"Shelby Miller","ARI","SP","$4,900,000","1 (2018)","$4,900,000","$4,900,000",2012
"James Paxton","SEA","SP","$4,900,000","1 (2018)","$4,900,000","$4,900,000",2012
"Eduardo Escobar","MIN","SS","$4,850,000","1 (2018)","$4,850,000","$4,850,000",2012
"Taijuan Walker","ARI","SP","$4,825,000","1 (2018)","$4,825,000","$4,825,000",2012
"Miguel Gonzalez","CWS","SP","$4,750,000","1 (2018)","$4,750,000","$4,750,000",2012
"Ender Inciarte","ATL","OF","$4,700,000","5 (2017-21)","$30,525,000","$6,105,000",2012
"Gregory Polanco","PIT","OF","$4,700,000","5 (2017-21)","$35,000,000","$7,000,000",2012
"Wil Myers","SD","OF","$4,666,666","6 (2017-22)","$83,000,000","$13,833,333",2012
"Jorge Soler","KC","OF","$4,666,666","9 (2012-20)","$30,000,000","$3,333,333",2012
"Ken Giles","HOU","RP","$4,600,000","1 (2018)","$4,600,000","$4,600,000",2012
"Billy Hamilton","CIN","OF","$4,600,000","1 (2018)","$4,600,000","$4,600,000",2012
"David Freese","PIT","3B","$4,500,000","2 (2017-18)","$11,000,000","$5,500,000",2012
"Brad Miller","TB","2B","$4,500,000","1 (2018)","$4,500,000","$4,500,000",2012
"Fernando Rodney","MIN","RP","$4,500,000","1 (2018)","$4,500,000","$4,500,000",2012
"Sean Doolittle","WSH","RP","$4,450,000","5 (2014-18)","$10,500,000","$2,100,000",2012
"Tucker Barnhart","CIN","C","$4,437,500","4 (2018-21)","$16,000,000","$4,000,000",2012
"Sam Dyson","SF","RP","$4,425,000","1 (2018)","$4,425,000","$4,425,000",2012
"Brad Hand","SD","RP","$4,416,666","3 (2018-20)","$19,750,000","$6,583,333",2012
"Jake Lamb","ARI","3B","$4,275,000","1 (2018)","$4,275,000","$4,275,000",2012
"Justin Smoak","TOR","1B","$4,250,000","2 (2017-18)","$8,500,000","$4,250,000",2012
"Justin Wilson","CHC","RP","$4,250,000","1 (2018)","$4,250,000","$4,250,000",2012
"Kolten Wong","STL","2B","$4,200,000","5 (2016-20)","$25,500,000","$5,100,000",2012
"Erasmo Ramirez","SEA","SP","$4,200,000","1 (2018)","$4,200,000","$4,200,000",2012
"Kyle Gibson","MIN","SP","$4,200,000","1 (2018)","$4,200,000","$4,200,000",2012
"Kyle Hendricks","CHC","SP","$4,175,000","1 (2018)","$4,175,000","$4,175,000",2012
"Matt Shoemaker","LAA","SP","$4,125,000","1 (2018)","$4,125,000","$4,125,000",2012
"Yangervis Solarte","TOR","3B","$4,125,000","2 (2017-18)","$7,500,000","$3,750,000",2012
"Hector Rondon","HOU","RP","$4,000,000","2 (2018-19)","$8,500,000","$4,250,000",2012
"Yusmeiro Petit","OAK","RP","$4,000,000","2 (2018-19)","$10,000,000","$5,000,000",2012
"Tyler Flowers","ATL","C","$4,000,000","1 (2018)","$4,000,000","$4,000,000",2012
"Alex Avila","ARI","C","$4,000,000","2 (2018-19)","$8,250,000","$4,125,000",2012
"Matt Adams","WSH","1B","$4,000,000","1 (2018)","$4,000,000","$4,000,000",2012
"Doug Fister","TEX","SP","$4,000,000","1 (2018)","$4,000,000","$4,000,000",2012
"Carlos Gomez","TB","OF","$4,000,000","1 (2018)","$4,000,000","$4,000,000",2012
"Francisco Liriano","DET","SP","$4,000,000","1 (2018)","$4,000,000","$4,000,000",2012
"Neil Walker","NYY","2B","$4,000,000","1 (2018)","$4,000,000","$4,000,000",2012
"Chris Iannetta","COL","C","$3,975,000","2 (2018-19)","$8,500,000","$4,250,000",2012
"Robbie Ray","ARI","SP","$3,950,000","1 (2018)","$3,950,000","$3,950,000",2012
"Nate Jones","CWS","RP","$3,950,000","3 (2016-18)","$8,000,000","$2,666,667",2012
"Martin Maldonado","LAA","C","$3,900,000","1 (2018)","$3,900,000","$3,900,000",2012
"Joe Kelly","BOS","RP","$3,825,000","1 (2018)","$3,825,000","$3,825,000",2012
"Jarrod Dyson","ARI","OF","$3,750,000","2 (2018-19)","$7,500,000","$3,750,000",2012
"Jimmy Nelson","MIL","SP","$3,700,000","1 (2018)","$3,700,000","$3,700,000",2012
"Corey Knebel","MIL","RP","$3,650,000","1 (2018)","$3,650,000","$3,650,000",2012
"Steven Souza Jr.","ARI","OF","$3,550,000","1 (2018)","$3,550,000","$3,550,000",2012
"Odubel Herrera","PHI","OF","$3,550,000","5 (2017-21)","$30,500,000","$6,100,000",2012
"Kurt Suzuki","ATL","C","$3,500,000","1 (2018)","$3,500,000","$3,500,000",2012
"Brian Duensing","CHC","RP","$3,500,000","2 (2018-19)","$7,000,000","$3,500,000",2012
"Lucas Duda","KC","1B","$3,500,000","1 (2018)","$3,500,000","$3,500,000",2012
"Travis d'Arnaud","NYM","C","$3,475,000","1 (2018)","$3,475,000","$3,475,000",2012
"Joe Panik","SF","2B","$3,450,000","1 (2018)","$3,450,000","$3,450,000",2012
"Arodys Vizcaino","ATL","RP","$3,400,000","1 (2018)","$3,400,000","$3,400,000",2012
"Chris Owings","ARI","SS","$3,400,000","1 (2018)","$3,400,000","$3,400,000",2012
"Justin Bour","MIA","1B","$3,400,000","1 (2018)","$3,400,000","$3,400,000",2012
"Wilmer Flores","NYM","1B","$3,400,000","1 (2018)","$3,400,000","$3,400,000",2012
"Dan Straily","MIA","SP","$3,375,000","1 (2018)","$3,375,000","$3,375,000",2012
"Tim Beckham","BAL","3B","$3,350,000","1 (2018)","$3,350,000","$3,350,000",2012
"Rougned Odor","TEX","2B","$3,333,333","6 (2017-22)","$49,500,000","$8,250,000",2012
"Adam Warren","NYY","RP","$3,315,000","1 (2018)","$3,315,000","$3,315,000",2012
"David Peralta","ARI","OF","$3,300,000","1 (2018)","$3,300,000","$3,300,000",2012
"Kevin Pillar","TOR","OF","$3,250,000","1 (2018)","$3,250,000","$3,250,000",2012
"Tony Watson","SF","RP","$3,250,000","2 (2018-19)","$7,000,000","$3,500,000",2012
"Cameron Maybin","MIA","OF","$3,250,000","1 (2018)","$3,250,000","$3,250,000",2012
"Felipe Rivero","PIT","RP","$3,250,000","4 (2018-21)","$22,000,000","$5,500,000",2012
"Addison Russell","CHC","SS","$3,200,000","1 (2018)","$3,200,000","$3,200,000",2012
"Marcus Semien","OAK","SS","$3,125,000","1 (2018)","$3,125,000","$3,125,000",2012
"Kenta Maeda","LAD","SP","$3,125,000","8 (2016-23)","$25,000,000","$3,125,000",2012
"Stephen Vogt","MIL","C","$3,065,000","1 (2018)","$3,065,000","$3,065,000",2012
"Jung-ho Kang","PIT","3B","$3,062,500","4 (2015-18)","$11,000,000","$2,750,000",2012
"Bud Norris","STL","RP","$3,000,000","1 (2018)","$3,000,000","$3,000,000",2012
"Drew Smyly","CHC","SP","$3,000,000","2 (2018-19)","$10,000,000","$5,000,000",2012
"Austin Jackson","SF","OF","$3,000,000","2 (2018-19)","$6,000,000","$3,000,000",2012
"Josh Tomlin","CLE","SP","$3,000,000","1 (2018)","$3,000,000","$3,000,000",2012
"Howie Kendrick","WSH","OF","$3,000,000","2 (2018-19)","$7,000,000","$3,500,000",2012
"Chris Tillman","BAL","SP","$3,000,000","1 (2018)","$3,000,000","$3,000,000",2012
"Colby Rasmus","BAL","OF","$3,000,000","1 (2018)","$3,000,000","$3,000,000",2012
"Clayton Richard","SD","SP","$3,000,000","2 (2018-19)","$6,000,000","$3,000,000",2012
"Drew Hutchison","PHI","RP","$3,000,000","1 (2018)","$3,000,000","$3,000,000",2012
"Jon Jay","KC","OF","$3,000,000","1 (2018)","$3,000,000","$3,000,000",2012
"Mike Zunino","SEA","C","$2,975,000","1 (2018)","$2,975,000","$2,975,000",2012
"Noah Syndergaard","NYM","SP","$2,975,000","1 (2018)","$2,975,000","$2,975,000",2012
"Maikel Franco","PHI","3B","$2,950,000","1 (2018)","$2,950,000","$2,950,000",2012
"Brandon Maurer","KC","RP","$2,950,000","1 (2018)","$2,950,000","$2,950,000",2012
"Eugenio Suarez","CIN","3B","$2,916,666","7 (2018-24)","$66,000,000","$9,428,571",2012
"Derek Dietrich","MIA","OF","$2,900,000","1 (2018)","$2,900,000","$2,900,000",2012
"J.T. Realmuto","MIA","C","$2,900,000","1 (2018)","$2,900,000","$2,900,000",2012
"Shohei Ohtani","LAA","SP","$2,860,000","1 (2018)","$2,860,000","$2,860,000",2012
